Theta(deg) Phi(deg) RCS(dBsm)
0.0 0.0 -28.634216808956285
1.0 0.0 -28.634279410048467
2.0 0.0 -28.636774414281806
3.0000000000000004 0.0 -28.641702393239616
4.0 0.0 -28.649064924124946
5.0 0.0 -28.658864590407667
6.000000000000001 0.0 -28.671104983595118
7.0 0.0 -28.68579070611018
8.0 0.0 -28.70292737525598
9.0 0.0 -28.722521628242866
10.0 0.0 -28.744581128251227
11.0 0.0 -28.769114571496452
12.000000000000002 0.0 -28.796131695258808
13.0 0.0 -28.825643286833767
14.0 0.0 -28.857661193350918
14.999999999999998 0.0 -28.89219833240044
16.0 0.0 -28.929268703396414
17.0 0.0 -28.968887399593704
18.0 0.0 -29.01107062066068
19.0 0.0 -29.055835685694266
20.0 0.0 -29.103201046543532
21.0 0.0 -29.153186301286645
22.0 0.0 -29.205812207678616
23.0 0.0 -29.261100696357666
24.000000000000004 0.0 -29.31907488356235
25.0 0.0 -29.379759083069928
26.0 0.0 -29.443178817019415
27.0 0.0 -29.5093608252265
28.0 0.0 -29.578333072533034
29.000000000000004 0.0 -29.650124753659345
29.999999999999996 0.0 -29.724766294939492
31.0 0.0 -29.802289352220765
32.0 0.0 -29.88272680408796
33.0 0.0 -29.966112739440746
34.0 0.0 -30.052482438291207
35.0 0.0 -30.141872344466943
36.0 0.0 -30.23432002869104
37.0 0.0 -30.32986414026338
38.0 0.0 -30.42854434527952
39.0 0.0 -30.53040124899077
40.0 0.0 -30.635476299520633
41.0 0.0 -30.74381166970364
42.0 0.0 -30.85545011329085
43.0 0.0 -30.97043479116057
44.0 0.0 -31.088809062472652
45.0 0.0 -31.210616234890836
46.0 0.0 -31.33589926705961
47.0 0.0 -31.464700415436546
48.00000000000001 0.0 -31.59706081632965
49.0 0.0 -31.73301999255045
50.0 0.0 -31.87261527244345
51.0 0.0 -32.01588110716513
52.0 0.0 -32.16284826994013
53.0 0.0 -32.31354291859272
54.0 0.0 -32.46798549992311
55.0 0.0 -32.62618947145872
56.0 0.0 -32.788159812764775
57.00000000000001 0.0 -32.9538912948714
58.00000000000001 0.0 -33.12336647251754
59.00000000000001 0.0 -33.29655335993185
59.99999999999999 0.0 -33.473402746926276
61.0 0.0 -33.65384510842563
62.0 0.0 -33.837787057571596
63.0 0.0 -34.02510729076005
64.0 0.0 -34.215651973143125
65.0 0.0 -34.4092295162822
66.0 0.0 -34.60560470712735
67.0 0.0 -34.80449216109664
68.0 0.0 -35.00554909396302
69.0 0.0 -35.20836744024587
70.0 0.0 -35.41246539303274
71.0 0.0 -35.617278505107265
72.0 0.0 -35.82215057741619
73.0 0.0 -36.02632467115585
