Theta_deg,RCS_dB
-180.0,-1.323312176730942
-179.0,-1.3225300158097446
-178.0,-1.324981218353093
-177.0,-1.3306657797120023
-176.0,-1.3395841622104718
-175.0,-1.3517373019053733
-174.0,-1.3671266189852418
-173.0,-1.38575403184775
-172.0,-1.407621974908608
-171.0,-1.4327334202105435
-170.0,-1.4610919029145177
-169.0,-1.4927015507722334
-168.0,-1.5275671176940415
-167.0,-1.565694021545073
-166.0,-1.6070883863189924
-165.0,-1.65175708885971
-164.0,-1.6997078103211374
-163.0,-1.7509490925780575
-162.0,-1.8054903998247507
-161.0,-1.8633421856247367
-160.0,-1.9245159657026647
-159.0,-1.9890243968011598
-158.0,-2.0568813619582746
-157.0,-2.1281020625993485
-156.0,-2.202703117876934
-155.0,-2.280702671738231
-154.0,-2.362120508248653
-153.0,-2.446978175755337
-152.0,-2.5352991205358877
-151.0,-2.627108830645068
-150.0,-2.7224349907483987
-149.0,-2.8213076488161577
-148.0,-2.9237593956459524
-147.0,-3.029825558288386
-146.0,-3.139544408569778
-145.0,-3.252957388039947
-144.0,-3.3701093508250373
-143.0,-3.4910488260362307
-142.0,-3.6158283015793407
-141.0,-3.7445045314298326
-140.0,-3.8771388686880774
-139.0,-4.013797627014094
-138.0,-4.154552473365745
-137.0,-4.299480855335704
-136.0,-4.448666466808586
-135.0,-4.602199756147188
-134.0,-4.760178481680494
-133.0,-4.922708319913375
-132.0,-5.089903532628984
-131.0,-5.261887699922326
-130.0,-5.438794527213462
-129.0,-5.620768735463047
-128.0,-5.807967045183427
-126.99999999999999,-6.000559266443312
-126.0,-6.198729508944161
-125.00000000000001,-6.402677528459574
-124.0,-6.612620228536427
-123.00000000000001,-6.82879333943934
-122.0,-7.051453299973279
-121.0,-7.280879372158476
-119.99999999999999,-7.517376023900853
-119.0,-7.761275620969705
-117.99999999999999,-8.012941476976174
-117.0,-8.272771318890776
-116.00000000000001,-8.541201236259063
-115.0,-8.818710195035175
-114.0,-9.105825212295432
-113.0,-9.40312730652577
-112.0,-9.711258360274144
-111.0,-10.030929058344622
