Theta(deg) VEFIE(dBsm) Mie(dBsm)
0.0 -80.76372293773125 -49.351899666394836
1.0 -80.81165763806627 -49.353239051581994
2.0 -80.85975871044673 -49.357258000896394
3.0000000000000004 -80.9079989639798 -49.36395889754167
4.0 -80.95635109887688 -49.3733457200167
5.0 -81.00478775046105 -49.385424051890006
6.000000000000001 -81.05328153171554 -49.40020109555475
7.0 -81.10180507404253 -49.417685690035775
8.0 -81.15033106590104 -49.437888332941704
9.0 -81.1988322889947 -49.46082120667758
10.0 -81.2472816516891 -49.48649820905685
11.0 -81.29565221934939 -49.51493498847606
12.000000000000002 -81.34391724130411 -49.546148983842315
13.0 -81.39205017416081 -49.58015946947066
14.0 -81.44002470122551 -49.61698760519969
14.999999999999998 -81.48781474780394 -49.65665649200501
16.0 -81.53539449219777 -49.69919123342635
17.0 -81.58273837224567 -49.74461900316169
18.0 -81.62982108730041 -49.7929691192241
19.0 -81.67661759557895 -49.844273125102816
20.0 -81.72310310687013 -49.89856487842097
21.0 -81.76925307063739 -49.955880647637834
22.0 -81.81504315960788 -50.016259217406215
23.0 -81.86044924899655 -50.07974200326391
24.000000000000004 -81.90544739157083 -50.14637317641518
25.0 -81.95001378882294 -50.216199799443935
26.0 -81.99412475857501 -50.28927197389618
27.0 -82.03775669940342 -50.36564300077707
28.0 -82.08088605232643 -50.44536955512903
29.000000000000004 -82.12348926025795 -50.52851187599376
29.999999999999996 -82.16554272578503 -50.615133973215514
31.0 -82.20702276787861 -50.705303852717385
32.0 -82.24790557819703 -50.79909376208073
33.0 -82.28816717768484 -50.89658045848345
34.0 -82.32778337420974 -50.99784550130957
35.0 -82.36672972201362 -51.10297557203715
36.0 -82.40498148378077 -51.21206282434712
37.0 -82.44251359614539 -51.32520526778349
38.0 -82.47930063947406 -51.44250718873959
39.0 -82.51531681275951 -51.56407961305955
40.0 -82.55053591445844 -51.69004081513886
41.0 -82.58493133008943 -51.82051687909868
42.0 -82.61847602737933 -51.955642318412416
43.0 -82.65114255971224 -52.09556076130195
44.0 -82.6829030785843 -52.24042571032055
45.0 -82.71372935570864 -52.39040138583155
46.0 -82.74359281534257 -52.545663664615134
47.0 -82.77246457732582 -52.7064011266385
48.00000000000001 -82.80031551122148 -52.87281622516418
49.0 -82.82711630184619 -53.04512659792305
50.0 -82.85283752635499 -53.22356654013095
51.0 -82.87744974292025 -53.40838866379674
52.0 -82.90092359090255 -53.599865772196694
53.0 -82.92322990226762 -53.798292983758145
54.0 -82.94433982384723 -54.003990146134335
55.0 -82.96422494988579 -54.21730458925782
56.0 -82.98285746415013 -54.43861427601354
57.00000000000001 -83.00021029072141 -54.6683314213673
58.00000000000001 -83.01625725242415 -54.90690666596766
59.00000000000001 -83.03097323569445 -55.15483390925691
59.99999999999999 -83.0443343605426 -55.412655931107516
61.0 -83.05631815412562 -55.680970961448544
62.0 -83.06690372632633 -55.96044039629419
63.0 -83.07607194562826 -56.25179790880065
64.0 -83.08380561349094 -56.55586026925949
65.0 -83.09008963536789 -56.87354027357493
66.0 -83.09491118647313 -57.20586229319798
67.0 -83.09825987039235 -57.553981111277636
68.0 -83.1001278686527 -57.9192049151787
69.0 -83.1005100794172 -58.30302359679253
70.0 -83.09940424354582 -58.707143902306015
71.0 -83.09681105637543 -59.13353352221159
72.0 -83.09273426370754 -59.584476997025334
73.0 -83.08718074065655 -60.062647454593765
74.0 -83.08016055219784 -60.57119988339488
75.0 -83.07168699446378 -61.11389419828644
76.0 -83.06177661606117 -61.69526030167393
77.0 -83.0504492189203 -62.320823604506415
78.0 -83.03772783843152 -62.99741969717455
79.0 -83.02363870287527 -63.73364411835265
80.0 -83.0082111723965 -64.54051341679539
81.0 -82.99147765801607 -65.43246908789654
82.0 -82.97347352140014 -66.428962754298
83.0 -82.95423695632293 -67.55707993865045
84.0 -82.93380885295072 -68.85614387531025
85.0 -82.91223264624836 -70.38641660218586
86.0 -82.88955414995449 -72.24724070224597
87.0 -82.86582137769173 -74.62041566354628
88.0 -82.84108435286868 -77.89783886740769
89.0 -82.8153949090926 -83.22444937141917
90.0 -82.78880648284647 -99.48623680983619
91.0 -82.76137390018837 -86.42265588577709
92.0 -82.73315315921383 -79.49090540871175
93.0 -82.70420120997551 -75.68898774834261
94.0 -82.6745757334906 -73.05679771783362
95.0 -82.64433492138146 -71.04269507069085
96.00000000000001 -82.61353725759433 -69.41191552399492
97.0 -82.58224130352816 -68.04246857348522
98.0 -82.55050548778289 -66.86278131894758
99.0 -82.51838790160598 -65.82725068400576
100.0 -82.48594610098348 -64.90502447312886
